t,label,mode,state,reason,left_cmd,right_cmd,motor_enabled,healthy,vision_sequence,vision_status,hunt_state,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,ir_front,ir_left_front,ir_right_front,ir_left_rear,ir_right_rear,ir_rear,gray_front,gray_rear,gray_left,gray_right,shovel_left,shovel_right
0.671,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1482.0,1362.0,1053.0,23.0,955.0
0.691,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1479.0,1359.0,1051.0,24.0,956.0
0.711,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1483.0,1364.0,1055.0,144.0,955.0
0.731,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1478.0,1360.0,1052.0,24.0,969.0
0.751,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1478.0,1360.0,1052.0,24.0,969.0
0.772,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1480.0,1360.0,1052.0,28.0,956.0
0.792,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1482.0,1363.0,1053.0,24.0,955.0
0.812,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1484.0,1364.0,1056.0,24.0,954.0
0.832,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1476.0,1358.0,1050.0,24.0,955.0
0.852,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1480.0,1361.0,1052.0,24.0,956.0
0.872,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1483.0,1363.0,1054.0,24.0,954.0
0.892,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1479.0,1362.0,1053.0,24.0,969.0
0.912,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1485.0,1365.0,1056.0,24.0,956.0
0.933,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1486.0,1365.0,1056.0,441.0,958.0
0.953,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1482.0,1362.0,1053.0,24.0,952.0
0.973,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1483.0,1364.0,1054.0,194.0,956.0
0.993,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1484.0,1365.0,1054.0,24.0,956.0
1.013,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1479.0,1361.0,1052.0,111.0,955.0
1.033,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1485.0,1365.0,1056.0,24.0,954.0
1.053,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,884.0,1485.0,1364.0,1055.0,23.0,956.0
1.074,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,881.0,1479.0,1359.0,1051.0,23.0,956.0
1.094,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1480.0,1361.0,1052.0,31.0,952.0
1.114,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1490.0,1368.0,1058.0,24.0,954.0
1.134,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,887.0,1488.0,1368.0,1058.0,24.0,956.0
1.154,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,888.0,1488.0,1369.0,1059.0,23.0,970.0
1.174,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,889.0,1490.0,1370.0,1060.0,24.0,954.0
1.195,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,889.0,1490.0,1370.0,1060.0,24.0,954.0
1.215,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,885.0,1484.0,1365.0,1056.0,193.0,956.0
1.235,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,889.0,1490.0,1370.0,1060.0,24.0,956.0
1.255,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,883.0,1480.0,1363.0,1054.0,35.0,954.0
1.275,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,882.0,1476.0,1359.0,1050.0,143.0,955.0
1.296,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,878.0,1473.0,1355.0,1046.0,24.0,956.0
1.317,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,880.0,1476.0,1358.0,1049.0,24.0,954.0
1.337,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,878.0,1473.0,1354.0,1046.0,24.0,954.0
1.357,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,878.0,1474.0,1355.0,1048.0,23.0,956.0
1.379,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,876.0,1472.0,1353.0,1046.0,62.0,956.0
1.399,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,870.0,1464.0,1347.0,1040.0,24.0,955.0
1.419,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,868.0,1461.0,1344.0,1038.0,24.0,954.0
1.439,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,867.0,1457.0,1340.0,1034.0,23.0,956.0
1.46,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,866.0,1456.0,1340.0,1034.0,24.0,956.0
1.48,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,862.0,1449.0,1335.0,1029.0,296.0,955.0
1.5,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,863.0,1451.0,1335.0,1029.0,24.0,955.0
1.52,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,866.0,1457.0,1337.0,1032.0,24.0,956.0
1.54,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,865.0,1455.0,1338.0,1032.0,24.0,955.0
1.56,enemy_integration,patrol,CRUISE,按区域分级巡航,0,0,1,1,,stale,IR_UNCLASSIFIED,IDLE,,,0,0,0,0,0,0,0,1,866.0,1459.0,1341.0,1034.0,23.0,954.0
1.58,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,0,0,1,1,1,no_target,IR_UNCLASSIFIED,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,868.0,1464.0,1344.0,1037.0,23.0,956.0
1.6,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,867.0,1459.0,1341.0,1035.0,23.0,956.0
1.621,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,865.0,1455.0,1336.0,1031.0,280.0,956.0
1.641,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,863.0,1452.0,1335.0,1030.0,177.0,952.0
1.661,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,866.0,1457.0,1340.0,1033.0,24.0,956.0
1.681,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,861.0,1447.0,1333.0,1028.0,524.0,958.0
1.701,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,865.0,1455.0,1338.0,1032.0,279.0,955.0
1.721,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,1,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,864.0,1454.0,1337.0,1031.0,23.0,955.0
1.742,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,871.0,1468.0,1349.0,1042.0,226.0,957.0
1.762,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,871.0,1468.0,1349.0,1042.0,226.0,957.0
1.782,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,870.0,1465.0,1346.0,1038.0,24.0,953.0
1.802,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,863.0,1456.0,1337.0,1034.0,23.0,955.0
1.822,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,857.0,1448.0,1332.0,1030.0,24.0,957.0
1.842,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,858.0,1449.0,1332.0,1029.0,23.0,956.0
1.862,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,2,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,861.0,1450.0,1332.0,1030.0,24.0,955.0
1.883,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,861.0,1452.0,1322.0,1028.0,24.0,954.0
1.903,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,865.0,1466.0,1320.0,1040.0,247.0,957.0
1.923,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,865.0,1475.0,1316.0,1046.0,24.0,956.0
1.943,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,857.0,1464.0,1323.0,1038.0,32.0,970.0
1.963,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,845.0,1470.0,1321.0,1035.0,24.0,955.0
1.983,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,838.0,1464.0,1308.0,1040.0,22.0,988.0
2.004,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,844.0,1482.0,1309.0,1053.0,24.0,972.0
2.024,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,3,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,844.0,1488.0,1308.0,1056.0,25.0,985.0
2.044,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,849.0,1495.0,1321.0,1060.0,24.0,971.0
2.064,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,842.0,1486.0,1304.0,1063.0,23.0,956.0
2.084,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,838.0,1469.0,1273.0,1057.0,177.0,954.0
2.104,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,1,0,0,0,1,841.0,1472.0,1266.0,1063.0,24.0,955.0
2.125,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,1,0,0,0,1,827.0,1448.0,1252.0,1061.0,23.0,956.0
2.145,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,1,0,0,0,1,825.0,1453.0,1255.0,1073.0,144.0,957.0
2.165,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,4,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,1,0,0,0,1,828.0,1451.0,1239.0,1064.0,77.0,955.0
2.185,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,823.0,1455.0,1216.0,1065.0,23.0,969.0
2.206,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,821.0,1470.0,1208.0,1063.0,24.0,972.0
2.226,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,823.0,1473.0,1213.0,1061.0,24.0,988.0
2.246,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,828.0,1478.0,1209.0,1080.0,144.0,955.0
2.267,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,829.0,1483.0,1208.0,1105.0,23.0,988.0
2.287,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,5,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,829.0,1483.0,1208.0,1105.0,23.0,988.0
2.307,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,825.0,1487.0,1213.0,1133.0,24.0,988.0
2.327,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,1,1,1,814.0,1466.0,1203.0,1136.0,230.0,969.0
2.349,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,1,1,1,824.0,1458.0,1196.0,1140.0,24.0,955.0
2.369,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,1,1,1,836.0,1470.0,1202.0,1149.0,23.0,972.0
2.389,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,1,1,1,831.0,1467.0,1196.0,1136.0,23.0,986.0
2.41,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,1,1,1,832.0,1453.0,1184.0,1140.0,24.0,955.0
2.431,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,1,1,837.0,1437.0,1177.0,1148.0,24.0,986.0
2.451,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,6,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,844.0,1426.0,1161.0,1158.0,24.0,1006.0
2.471,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,7,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,846.0,1416.0,1154.0,1162.0,23.0,968.0
2.491,enemy_integration,enemy_push,SEEK_TURN,rear 发现敌人，原地转向,600,-600,1,1,7,no_target,IDLE,SEEK_TURN,rear,right,0,0,0,0,0,0,0,1,845.0,1416.0,1141.0,1166.0,23.0,986.0
