t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,near_direction,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,vision_sequence,vision_status,reason,left_cmd,right_cmd,healthy
0.265,670.0,1304.0,1015.0,955.0,0.5449,1.3333,0.6505,0.9396,0.795,1,0,0,0,0,0,1,1353.0,127.0,1034.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.285,668.0,1301.0,1014.0,954.0,0.5449,1.3333,0.6505,0.9396,0.795,1,0,0,0,0,0,1,1348.0,94.0,1031.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.305,667.0,1301.0,1016.0,957.0,0.5387,1.3274,0.6505,0.9396,0.795,1,0,0,0,0,0,1,1351.0,556.0,1040.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.325,662.0,1298.0,1012.0,949.0,0.5356,1.3274,0.6481,0.9362,0.7921,1,0,0,0,0,0,1,1322.0,24.0,1020.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.345,658.0,1304.0,1007.0,944.0,0.5201,1.3274,0.6432,0.9195,0.7813,1,0,0,0,0,0,1,1291.0,177.0,1020.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.365,655.0,1315.0,1003.0,954.0,0.5077,1.3333,0.6311,0.9195,0.7753,1,0,0,0,0,0,1,1244.0,622.0,1040.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.385,646.0,1321.0,978.0,959.0,0.4985,1.3552,0.6214,0.9362,0.7788,1,0,0,0,0,0,1,1213.0,40.0,1054.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.405,642.0,1326.0,971.0,969.0,0.4706,1.3671,0.5607,0.953,0.7568,1,0,0,0,0,0,1,1121.0,34.0,1052.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.425,645.0,1333.0,984.0,977.0,0.4675,1.377,0.5607,0.9866,0.7736,1,0,0,0,0,0,1,1074.0,23.0,1020.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.445,639.0,1324.0,988.0,968.0,0.4582,1.377,0.5752,0.9866,0.7809,1,0,0,0,1,0,1,1025.0,23.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.466,652.0,1327.0,992.0,964.0,0.4675,1.379,0.585,0.9832,0.7841,1,0,0,0,0,0,1,978.0,159.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.486,657.0,1314.0,991.0,972.0,0.4892,1.373,0.5922,0.9832,0.7877,1,0,0,0,0,0,1,884.0,23.0,1026.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.506,669.0,1317.0,1004.0,960.0,0.5046,1.3591,0.5947,0.9698,0.7822,1,0,0,0,0,0,1,836.0,24.0,1060.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.526,676.0,1333.0,1009.0,964.0,0.5418,1.3591,0.6238,0.9698,0.7968,1,0,0,0,0,0,1,803.0,23.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.546,679.0,1331.0,993.0,965.0,0.5635,1.3869,0.6238,0.9698,0.7968,1,0,0,0,0,0,1,749.0,34.0,1053.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.566,680.0,1337.0,978.0,952.0,0.5728,1.3909,0.5971,0.9698,0.7834,1,0,0,0,0,0,1,741.0,23.0,1034.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.586,675.0,1323.0,985.0,945.0,0.5728,1.3869,0.5777,0.9295,0.7536,1,0,0,0,0,0,1,673.0,23.0,1018.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.606,684.0,1341.0,1019.0,958.0,0.5759,1.3988,0.5777,0.9295,0.7536,1,0,0,0,0,0,1,640.0,23.0,1021.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.627,677.0,1330.0,1024.0,967.0,0.5666,1.3849,0.6602,0.9497,0.8049,1,0,0,0,0,0,1,618.0,177.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.647,677.0,1330.0,1024.0,967.0,0.5666,1.3849,0.6723,0.9799,0.8261,1,0,0,0,0,0,1,618.0,177.0,1038.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.667,673.0,1338.0,1027.0,968.0,0.5666,1.3849,0.6723,0.9799,0.8261,1,0,0,0,0,0,1,607.0,27.0,1020.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.687,674.0,1349.0,1010.0,973.0,0.5573,1.4008,0.6723,0.9832,0.8278,1,0,0,0,0,0,1,544.0,34.0,1020.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.707,684.0,1355.0,1009.0,988.0,0.5573,1.4226,0.6383,1.0,0.8192,1,0,0,0,0,0,1,526.0,23.0,1038.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.728,679.0,1341.0,1009.0,981.0,0.5728,1.4226,0.6359,1.0268,0.8314,1,0,0,0,0,0,1,621.0,23.0,1005.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.748,676.0,1354.0,1010.0,995.0,0.5728,1.4325,0.6359,1.0503,0.8431,1,0,0,0,0,0,1,481.0,24.0,1019.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.768,683.0,1364.0,1003.0,974.0,0.5728,1.4325,0.6359,1.0268,0.8314,1,0,0,0,0,0,1,481.0,111.0,1020.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.788,688.0,1347.0,1002.0,970.0,0.5851,1.4325,0.6214,1.0034,0.8124,1,0,0,0,0,0,1,442.0,23.0,1022.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.808,695.0,1348.0,1015.0,1008.0,0.6006,1.4206,0.6214,1.0034,0.8124,1,0,0,0,0,0,1,428.0,210.0,988.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.829,698.0,1358.0,1017.0,1020.0,0.6223,1.4206,0.6505,1.1174,0.884,1,0,0,0,0,0,1,395.0,44.0,1005.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.849,698.0,1359.0,1018.0,1022.0,0.6316,1.4405,0.6553,1.1577,0.9065,1,0,0,0,0,0,1,497.0,127.0,1021.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.869,697.0,1379.0,1014.0,1029.0,0.6316,1.4425,0.6553,1.1644,0.9099,1,0,0,0,0,0,1,361.0,62.0,1022.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.889,701.0,1385.0,1024.0,1024.0,0.6316,1.4821,0.6578,1.1711,0.9145,0,0,0,0,0,0,1,346.0,95.0,1037.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.909,702.0,1390.0,1032.0,1017.0,0.6409,1.494,0.6723,1.1711,0.9217,0,0,0,0,0,0,1,315.0,23.0,1021.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.929,707.0,1397.0,1045.0,1030.0,0.644,1.504,0.6917,1.1711,0.9314,0,0,0,0,0,0,1,313.0,139.0,1022.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.949,706.0,1398.0,1059.0,1026.0,0.6563,1.5179,0.7233,1.1779,0.9506,0,0,0,0,0,0,1,280.0,426.0,1020.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.969,710.0,1412.0,1068.0,1036.0,0.6594,1.5198,0.7573,1.1913,0.9743,0,0,0,0,0,0,1,233.0,160.0,1019.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
0.989,723.0,1387.0,1070.0,1049.0,0.6687,1.5198,0.7791,1.2114,0.9953,0,0,0,0,0,0,1,13.0,621.0,1008.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.01,737.0,1378.0,1074.0,1060.0,0.709,1.498,0.784,1.255,1.0195,0,0,0,0,0,0,1,-273.0,49.0,1022.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.03,741.0,1397.0,1076.0,1058.0,0.7523,1.498,0.7937,1.2852,1.0395,0,0,0,0,0,0,1,-342.0,177.0,1005.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.05,736.0,1394.0,1070.0,1054.0,0.7523,1.5119,0.7937,1.2852,1.0395,0,0,0,0,0,0,1,-60.0,161.0,1002.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.07,736.0,1393.0,1065.0,1050.0,0.7492,1.5119,0.784,1.2718,1.0279,0,0,0,0,0,0,1,-326.0,193.0,1006.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.09,738.0,1390.0,1060.0,1053.0,0.7492,1.5099,0.7718,1.2685,1.0202,0,0,0,0,0,0,1,-757.0,239.0,1024.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.11,743.0,1391.0,1060.0,1040.0,0.7554,1.506,0.7597,1.2584,1.009,0,0,0,0,0,0,1,-175.0,622.0,1047.0,1,1,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.13,757.0,1379.0,1060.0,1051.0,0.7709,1.504,0.7597,1.2617,1.0163,0,0,0,0,0,0,1,-354.0,312.0,1022.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.15,757.0,1379.0,1060.0,1051.0,0.8142,1.4821,0.7597,1.2617,1.038,0,0,0,0,0,0,1,-354.0,312.0,1022.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.17,752.0,1362.0,1067.0,1061.0,0.8142,1.4821,0.7597,1.2617,1.038,0,0,0,0,0,0,1,-467.0,277.0,1007.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.191,746.0,1389.0,1089.0,1072.0,0.7988,1.4821,0.7767,1.2953,1.047,0,0,0,0,0,0,1,-322.0,294.0,1020.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.211,737.0,1408.0,1084.0,1074.0,0.7802,1.502,0.818,1.3322,1.0751,0,0,0,0,0,0,1,189.0,511.0,1018.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.231,749.0,1402.0,1080.0,1074.0,0.7802,1.5278,0.818,1.3389,1.0784,0,0,0,0,0,0,1,-191.0,377.0,1039.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.251,756.0,1398.0,1096.0,1082.0,0.7895,1.5278,0.818,1.3389,1.0784,0,0,0,0,0,0,1,-470.0,229.0,1022.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.271,758.0,1382.0,1096.0,1080.0,0.8111,1.5198,0.8471,1.3591,1.1031,0,0,0,0,0,0,1,1367.0,231.0,1005.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.291,765.0,1387.0,1097.0,1082.0,0.8173,1.498,0.8471,1.3658,1.1064,0,0,0,0,0,0,1,-5.0,345.0,1021.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.311,776.0,1408.0,1103.0,1067.0,0.839,1.498,0.8495,1.3591,1.1043,0,0,0,0,0,0,1,20.0,311.0,989.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.332,777.0,1393.0,1094.0,1072.0,0.8731,1.5099,0.8495,1.3322,1.1026,0,0,0,0,0,0,1,582.0,653.0,1015.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.352,777.0,1376.0,1108.0,1070.0,0.8762,1.5099,0.8641,1.3255,1.1008,0,0,0,0,0,0,1,-3.0,78.0,986.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.372,772.0,1350.0,1104.0,1055.0,0.8762,1.4762,0.8665,1.3255,1.1008,0,0,0,0,0,0,1,-4.0,231.0,1007.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.392,752.0,1321.0,1092.0,1056.0,0.8607,1.4246,0.8665,1.2785,1.0725,0,0,1,0,0,0,1,-193.0,238.0,973.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.412,754.0,1316.0,1068.0,1048.0,0.805,1.3671,0.8374,1.2752,1.0563,0,0,1,0,0,0,1,-11.0,212.0,1013.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.433,772.0,1336.0,1082.0,1038.0,0.805,1.3671,0.8131,1.2517,1.0324,0,0,1,0,0,0,1,-4.0,344.0,972.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.454,779.0,1316.0,1074.0,1028.0,0.8607,1.3571,0.7937,1.2181,1.0394,0,0,1,0,0,0,1,-4.0,442.0,990.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.474,784.0,1305.0,1074.0,1027.0,0.8824,1.3571,0.7937,1.1846,1.0335,0,0,0,0,0,0,1,-5.0,206.0,997.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.494,790.0,1307.0,1093.0,1013.0,0.8978,1.3393,0.7937,1.1812,1.0395,0,0,0,0,0,0,1,-4.0,833.0,1016.0,1,0,0,patrol,EDGE_TURN,EDGE_TURN,WAIT,IDLE,,IDLE,,,,,IDLE,,right,0,0,,stale,直线退离完成，开始转向,550,-550,1
1.514,789.0,1312.0,1091.0,1001.0,0.9133,1.3393,0.835,1.1342,1.0238,0,0,0,0,0,0,1,-3.0,526.0,1008.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,转向完成，向前离开边缘,400,400,1
1.534,795.0,1312.0,1093.0,1024.0,0.9164,1.3492,0.8398,1.1342,1.0253,0,0,0,0,0,0,1,-11.0,392.0,990.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,转向完成，向前离开边缘,400,400,1
1.554,794.0,1292.0,1073.0,991.0,0.9288,1.3492,0.835,1.094,1.0114,0,0,0,0,0,0,1,-6.0,126.0,1030.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,转向完成，向前离开边缘,400,400,1
1.574,794.0,1292.0,1073.0,991.0,0.9288,1.3095,0.7913,1.0604,0.9946,0,0,0,0,0,0,1,-6.0,126.0,1030.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,转向完成，向前离开边缘,400,400,1
1.594,803.0,1296.0,1079.0,993.0,0.9288,1.3095,0.7913,1.0604,0.9946,0,0,0,0,0,0,1,-3.0,327.0,989.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
1.615,814.0,1304.0,1096.0,1018.0,0.9567,1.3175,0.8058,1.0671,1.0119,0,0,0,0,0,0,1,-4.0,360.0,990.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
1.635,811.0,1298.0,1091.0,1004.0,0.9814,1.3214,0.835,1.104,1.0427,0,0,0,0,0,0,1,-1.0,311.0,972.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
1.655,808.0,1295.0,1088.0,993.0,0.9814,1.3214,0.835,1.104,1.0427,0,0,0,0,0,0,1,-4.0,73.0,994.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
1.675,810.0,1311.0,1113.0,994.0,0.9783,1.3214,0.835,1.0705,1.0244,0,0,0,0,0,0,1,-4.0,198.0,1007.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
1.695,807.0,1318.0,1117.0,994.0,0.9721,1.3472,0.8883,1.0705,1.0213,0,0,0,0,0,0,1,-4.0,719.0,959.0,1,0,0,patrol,RECOVER_FORWARD,RECOVER_FORWARD,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,1,no_target,转向完成，向前离开边缘,400,400,1
